_id,wallet_id,lp_scores[0].retained_liquidity,lp_scores[1].retained_liquidity,lp_scores[2].retained_liquidity,lp_scores[3].retained_liquidity,lp_scores[4].retained_liquidity,lp_scores[5].retained_liquidity,lp_scores[6].retained_liquidity,lp_scores[7].retained_liquidity,lp_scores[8].retained_liquidity,lp_scores[9].retained_liquidity,lp_scores[10].retained_liquidity,lp_scores[11].retained_liquidity,lp_scores[12].retained_liquidity
6874b823a794db5e6c4c2eb2,0x00e773567bcb92144e4b18756f17376701cd4374,-11.38784024854168,,,,,,,,,,,,
6874b824a794db5e6c4c2eea,0x006929f17a092110b71c495883c53673c2f4ff3d,-60.12005088950861,,,,,,,,,,,,
6874b828a794db5e6c4c2f22,0x0129d0acdc38309abd86d28df4aad634c5adce4c,-4.020426000000043,,,,,,,,,,,,
6874b824a794db5e6c4c2ece,0x0000ce08fa224696a819877070bf378e8b131acf,-27.312623999998323,,,,,,,,,,,,
6874b824a794db5e6c4c2ed0,0x0035ea81752aff17baadc87f3492792b6d8becf9,-30.352949999999964,,,,,,,,,,,,
6874b825a794db5e6c4c2eef,0x0039b625b1d8632c7a0057c964ec58a9f39789d3,-827.365094140172,-67.08431643713266,-884365085.7778634,-659.7281342744827,,,,,,,,,
6874b81ca794db5e6c4c2d60,0x0010649be53c7b6602997a4909e9896e7ffcfdd4,-14.311176035944072,,,,,,,,,,,,
6874b81da794db5e6c4c2d78,0x00bd925532b308d61f663edb13f002939d893ecf,4.646808561999933,-64.15316392004388,,,,,,,,,,,
6874b820a794db5e6c4c2dd2,0x004d7522521a917319a0161c6c7209ce93733cc6,-1529.9891099870874,,,,,,,,,,,,
6874b820a794db5e6c4c2dd1,0x002f0ce8818cd41e82e080ad4fb24c04bec6a884,-16.20103791221527,1442.6996983509005,,,,,,,,,,,
6874b822a794db5e6c4c2e36,0x0089136bdac1c2dc7983bd67efff8bddba016b07,-4.234728322022647,,,,,,,,,,,,
6874b822a794db5e6c4c2e41,0x0000000a7e2039afd2a7a41dbbcc74c3f41f8f94,-49.67647,,,,,,,,,,,,
6874b822a794db5e6c4c2e4f,0x001fecb58024cada017446767720c60d5c8286ae,5872.4436021172105,-427.4331831116724,-312.346369620971,,,,,,,,,,
6874b823a794db5e6c4c2e65,0x00062acefae5c760cc18cac5a98d84e0ced0cfd1,-37.66618931285984,-5.279136328938648,,,,,,,,,,,
6874b823a794db5e6c4c2ec0,0x007235950ca3cca963e0e994062ef8820dd9a9f3,-90576.57402624376,,,,,,,,,,,,
6874b824a794db5e6c4c2ed5,0x009ae54bf26fccaa4c5a1443ebded3e472849371,-8434.08239125523,,,,,,,,,,,,
6874b829a794db5e6c4c2f5e,0x01247fdf97ef4ce628d1e639b83a79a78dc1bb8e,-14.67913189065638,,,,,,,,,,,,
6874b820a794db5e6c4c2dc0,0x000000000002e33d9a86567c6dfe6d92f6777d1e,-31782.5148929212,,,,,,,,,,,,
6874b820a794db5e6c4c2dd5,0x004098bb5b1d5285e4347bfebfe65b36d20fc697,-6819.794728842999,,,,,,,,,,,,
6874b821a794db5e6c4c2df0,0x0086cfbe3086baf741526cac344fede1e0f59d4f,-155.9370334672276,,,,,,,,,,,,
6874b821a794db5e6c4c2e19,0x00357027db905b2d04765c7d46a82b61f983aa53,-1.133053893144421,,,,,,,,,,,,
6874b822a794db5e6c4c2e28,0x000b85652fc321561cdf2bcadb07b61d8ab9ab8d,-481.6096592721369,,,,,,,,,,,,
6874b823a794db5e6c4c2e99,0x000000697bb288f2528042e8844b65cd32beafca,-72.31461098124637,3868.286211882676,,,,,,,,,,,
6874b823a794db5e6c4c2eb3,0x000000a8faeecce8d814879068575dba0a473926,-1.4063996967288404,,,,,,,,,,,,
6874b823a794db5e6c4c2eba,0x00e345e3e725e284449a3112635ceb65ad6efd04,-44.314938293046,-1100.4465478434067,,,,,,,,,,,
6874b82aa794db5e6c4c2f6e,0x00fc321ff1d2becb6be797f076b4d11987c0ffb9,12.952436133403124,-90.76598756882196,,,,,,,,,,,
6874b821a794db5e6c4c2e01,0x001c2113cfc6037e0ea1015a7dc7289de072e7fe,-8.812728958233745,618.2571632885447,,,,,,,,,,,
6874b821a794db5e6c4c2e07,0x00002b503a75998c97508916a74fdb41934fa030,-73612.24157610751,-13.771982000005664,,,,,,,,,,,
6874b823a794db5e6c4c2e81,0x00e173806d025484091145ca79d5d830f3d38b4f,-11.598970743391874,,,,,,,,,,,,
