_id,wallet_id,aggregated_lp_score,lp_scores[0].total_deposit_all_time,lp_scores[0].retained_liquidity,lp_scores[0].avg_holding_days,reason
6874b9fba794db5e6c4c802b,0x372934d5878e10a8b8e9a3cf2ead3bf929bd6f36,303.19,0.0,0.0,0.0,High score per deposit
6874ba12a794db5e6c4c840c,0x39b72dca64dcdd9ea2bb1e4000279320c2d9839b,290.32,0.0,0.0,0.0,High score per deposit
6874ba0da794db5e6c4c8377,0x38c1e75242d5b3320f05b3277769022879dc3f17,262.6,0.0,0.0,0.0,High score per deposit
6874ba16a794db5e6c4c851b,0x398bb8ffdc3fa51dba3dfa23cd96e5ceb25ac474,365.64,0.0,0.0,0.0,High score per deposit
6874ba1ea794db5e6c4c868a,0x3ae5eea88a1798d77dc8d7977398602000a2bf14,385.9,0.0,0.0,0.0,High score per deposit
6874ba20a794db5e6c4c86ef,0x3b5694dc7864727873ac35943186566bef49b69b,272.82,0.0,0.0,0.0,High score per deposit
6874ba30a794db5e6c4c88dc,0x3d66063ade48d26a0ee489bf64c05fab7d7117a9,393.96,0.0,0.0,0.0,High score per deposit
6874ba27a794db5e6c4c8830,0x3c1cb7d4c0ce0dc72edc7ea06acc866e62a8f1d8,386.24,0.0,0.0,0.0,High score per deposit
6874ba34a794db5e6c4c8a05,0x3d26d281e4a971a2e6ce7c9ffcb08cee6e85bddb,462.4,0.0,0.0,0.0,High score per deposit
6874ba34a794db5e6c4c89ed,0x3d57ebdeb377682dfce44a2c24204e8e8e6a013e,259.51,0.0,0.0,0.0,High score per deposit
6874ba3da794db5e6c4c8b16,0x3e8c0905afff19044e29354d4d0424662231e56c,330.8,0.0,0.0,0.0,High score per deposit
6874ba4da794db5e6c4c8d9f,0x3fe395df0974b66031a2bc494f845a39c3e393a4,467.5,0.0,0.0,0.0,High score per deposit
6874ba4da794db5e6c4c8d81,0x3fe2e08a1f7766606574a91a5cfaf3342d023947,318.95,0.0,0.0,0.0,High score per deposit
6874ba47a794db5e6c4c8d25,0x3f0c34f32266b775e8b8ba60c1655c64ffc519b5,289.63,0.0,0.0,0.0,High score per deposit
6874bfc3a794db5e6c4c9198,0x413b5efcd4719d874ef049dce028af9bdb7c12ca,324.05,0.0,0.0,0.0,High score per deposit
6874bfcea794db5e6c4c9340,0x41fa6d9c22d29bb59fc20a91940a6f2e582ce0bc,403.3,0.0,0.0,0.0,High score per deposit
6874bfcda794db5e6c4c9332,0x42b0a3c7f94a9ee4ac3e2242ec8031f45df7f589,350.0,0.0,0.0,0.0,High score per deposit
6874bfd6a794db5e6c4c949f,0x436c3b635ca72bedd7757f3bbbebacadf0a7a20f,343.68,0.0,0.0,0.0,High score per deposit
6874bfe5a794db5e6c4c971a,0x45fcbd5e794a5c33325f5f3e26c55dee6745dac6,317.4,0.0,0.0,0.0,High score per deposit
6874bfeea794db5e6c4c9868,0x4607e777d636ece4b2ab31851634a654aff5170f,261.73,0.0,0.0,0.0,High score per deposit
6874c002a794db5e6c4c9c91,0x49266929c793380bdbf2ed9bc3523abee3667c3a,288.9,0.0,0.0,0.0,High score per deposit
6874c00aa794db5e6c4c9e00,0x4a18f99814ab8466b9d9cb8567ef5115b396dea8,304.87,0.0,0.0,0.0,High score per deposit
6874c011a794db5e6c4c9eff,0x4aa60959b1571e62f9b353937c3e45978fd07713,365.88,0.0,0.0,0.0,High score per deposit
6874c012a794db5e6c4c9f9c,0x4a91897ea87b88f45963d4bbd53202aa6708924c,291.68,0.0,0.0,0.0,High score per deposit
6874c018a794db5e6c4ca040,0x4c0f913e448cb750ada5b4f3bbe226047d9139ce,476.85,0.0,0.0,0.0,High score per deposit
6874c02ba794db5e6c4ca3ee,0x4d7e3f9c00177b2c09c7f5e1c0db400df88c6770,280.47,0.0,0.0,0.0,High score per deposit
6874c024a794db5e6c4ca281,0x4ceaa05d2567fcd56bba18ebdb56adfb78cffb2c,260.65,0.0,0.0,0.0,High score per deposit
6874c024a794db5e6c4ca2ad,0x4d0db40279397f3feb243b8f2bf5afd1641b19e5,318.55,0.0,0.0,0.0,High score per deposit
6874c02aa794db5e6c4ca370,0x4df50485b9d12fc3f6b20cead3bbbb69cd92aae3,316.43,0.0,0.0,0.0,High score per deposit
6874c024a794db5e6c4ca2b5,0x4d01fd73adab728eb395aa3e74ced855bd6f5e28,470.05,0.0,0.0,0.0,High score per deposit
6874c024a794db5e6c4ca289,0x4c5572833adf0c9db842bc5b45a18703a90fd68a,402.05,0.0,0.0,0.0,High score per deposit
6874c024a794db5e6c4ca2d2,0x4cb0bd39b81756103cea675913218e1e1ef50386,539.0,0.0,0.0,0.0,High score per deposit
6874c02ca794db5e6c4ca446,0x4db55dd2c3140a33304944e97e3c1c4e320f4278,434.0,0.0,0.0,0.0,High score per deposit
6874c02ca794db5e6c4ca421,0x4dec8ca6488177636e4db23f92d6df2bb06c86a7,263.68,0.0,0.0,0.0,High score per deposit
6874c03ea794db5e6c4ca77f,0x4fed5491693007f0cd49f4614ffc38ab6a04b619,277.1,0.0,0.0,0.0,High score per deposit
6874c035a794db5e6c4ca600,0x4ed7437e6c72be22aa41b6738913b352ddbc0b02,404.04,0.0,0.0,0.0,High score per deposit
6874c03ea794db5e6c4ca791,0x4fdd19364971821f2e421723dd9f0cde2e3693b6,338.87,0.0,0.0,0.0,High score per deposit
6874c03ca794db5e6c4ca6dc,0x50741f390053b6ff59269aad52bea5bd7403b8b3,398.66,0.0,0.0,0.0,High score per deposit
6874c03da794db5e6c4ca766,0x50459afed76fbaa98ac2ff2daddd4e9966116195,280.2,0.0,0.0,0.0,High score per deposit
6874c03da794db5e6c4ca734,0x50555829b2c145c8f7feb50473e42fd165c42807,481.85,0.0,0.0,0.0,High score per deposit
6874c04ea794db5e6c4caa92,0x52981cdbfff4365aa994ecf5ac670bb756abc462,320.12,0.0,0.0,0.0,High score per deposit
6874c04ea794db5e6c4caa5a,0x524b7c9b4ca33ba72445dfd2d6404c81d8d1f2e3,351.9,0.0,0.0,0.0,High score per deposit
